station,date,obs,pred
창녕,2020-04-14,9.2,11.852577209472656
창녕,2020-06-23,49.3,23.208744049072266
창녕,2020-10-06,40.39999999999999,45.35234832763672
창녕,2021-01-19,53.60000000000001,38.14328384399414
창녕,2022-01-04,8.599999999999998,8.4074125289917
창녕,2022-04-19,20.3,19.990968704223633
창녕,2022-05-24,17.999999999999996,9.895410537719727
창녕,2022-11-15,11.4,12.034809112548828
창녕,2022-12-20,19.200000000000003,17.638561248779297
창녕,2023-05-09,8.2,7.79371452331543
창녕,2023-10-11,31.1,23.908174514770508
창녕,2024-05-13,14.2,10.039972305297852
창녕,2024-11-19,22.000000000000004,14.832111358642578
창녕,2024-12-09,45.9,35.66647720336914
창녕,2025-04-08,1.8,10.711036682128906
창녕,2025-04-28,2.2,8.530994415283203
창녕,2025-05-08,5.700000000000001,7.914727687835693
칠곡,2017-08-28,9.699999999999998,18.66054344177246
칠곡,2017-09-12,10.6,29.403841018676758
칠곡,2018-03-06,25.299999999999997,27.121414184570312
칠곡,2018-03-26,25.299999999999997,22.649932861328125
칠곡,2018-04-30,26.299999999999997,31.19066619873047
칠곡,2018-09-27,12.4,10.889705657958984
칠곡,2018-11-26,48.7,31.17130470275879
칠곡,2019-04-15,19.100000000000005,16.30685806274414
칠곡,2019-12-16,71.09999999999997,58.23334503173828
칠곡,2020-06-08,3.5,6.247922420501709
칠곡,2020-10-26,49.99999999999999,46.284725189208984
칠곡,2020-11-30,23.099999999999998,20.429025650024414
칠곡,2021-02-08,40.70000000000001,40.9909782409668
칠곡,2021-11-15,14.7,24.48039436340332
칠곡,2022-02-03,13.2,14.09699821472168
칠곡,2022-04-04,21.4,19.437557220458984
칠곡,2022-05-09,3.2,6.643887042999268
칠곡,2022-08-22,18.7,36.03304672241211
칠곡,2022-10-11,22.4,25.270158767700195
칠곡,2023-03-20,16.400000000000002,18.480224609375
칠곡,2023-09-11,13.999999999999996,36.08264923095703
칠곡,2023-10-16,16.400000000000002,18.66077423095703
칠곡,2023-11-20,7.999999999999998,6.079095363616943
칠곡,2024-02-13,30.5,34.169715881347656
칠곡,2024-05-13,17.4,17.780427932739258
칠곡,2024-08-26,8.699999999999998,26.525732040405273
칠곡,2024-11-19,4.4,8.292545318603516
칠곡,2024-12-09,14.399999999999999,20.07815170288086
칠곡,2025-04-28,3.3,7.41604471206665
칠곡,2025-08-18,15.199999999999998,31.172500610351562
하남,2017-03-21,21.499999999999996,19.785764694213867
하남,2017-09-12,48.900000000000006,43.68108367919922
하남,2017-11-21,13.600000000000001,16.48726463317871
하남,2018-03-06,32.1,32.86994934082031
하남,2018-04-10,36.400000000000006,29.084209442138672
하남,2018-07-24,103.99999999999999,36.122108459472656
하남,2018-09-27,37.99999999999999,26.604278564453125
하남,2018-10-02,56.3,39.651039123535156
하남,2018-11-06,52.00000000000001,39.20370864868164
하남,2019-01-15,17.100000000000005,10.724327087402344
하남,2019-06-04,12.700000000000001,30.595136642456055
하남,2019-10-22,29.500000000000004,16.63480567932129
하남,2020-02-04,38.1,28.96234130859375
하남,2020-04-14,17.0,8.53864860534668
하남,2020-06-23,54.2,44.516441345214844
하남,2020-10-06,64.30000000000003,53.81167984008789
하남,2021-01-19,20.5,19.811237335205078
하남,2022-01-04,15.999999999999998,9.834720611572266
하남,2022-03-15,6.9,16.794198989868164
하남,2022-04-19,9.400000000000002,11.150289535522461
하남,2022-05-24,7.999999999999998,23.70713233947754
하남,2022-11-15,11.3,13.737351417541504
하남,2022-12-20,7.300000000000001,9.96021842956543
하남,2023-05-09,6.0,6.257099628448486
하남,2023-10-11,62.09999999999999,49.32578659057617
하남,2024-05-13,27.199999999999992,22.792940139770508
하남,2024-05-28,9.2,7.132779598236084
하남,2024-08-06,72.69999999999997,21.773082733154297
하남,2024-11-19,27.60000000000001,26.191850662231445
하남,2024-12-09,59.1,41.81277084350586
하남,2025-04-08,1.5,6.665262699127197
하남,2025-04-28,17.3,7.092541217803955
하남,2025-05-08,20.200000000000003,17.37957191467285
함안,2024-02-13,26.5,24.998092651367188
함안,2024-03-04,19.699999999999996,18.360010147094727
